InterconnectorLinks,ToNode,Period,MaxRawNotAdjustWithInitCap_in_MW
Switzerland,Austria,1,1700.0
CzechR,Austria,1,1200.0
Germany,Austria,1,5000.0
Hungary,Austria,1,1200.0
Italy,Austria,1,555.0
Slovenia,Austria,1,1200.0
Croatia,BosniaH,1,1344.0
Serbia,BosniaH,1,1200.0
France,Belgium,1,4300.0
Luxemb.,Belgium,1,1080.0
Netherlands,Belgium,1,2400.0
Greece,Bulgaria,1,1728.0
Macedonia,Bulgaria,1,530.0
Romania,Bulgaria,1,1500.0
Serbia,Bulgaria,1,600.0
Germany,Switzerland,1,4700.0
France,Switzerland,1,3700.0
Italy,Switzerland,1,6240.0
Germany,CzechR,1,2100.0
Poland,CzechR,1,800.0
Slovakia,CzechR,1,2100.0
Denmark,Germany,1,4000.0
France,Germany,1,3000.0
Luxemb.,Germany,1,2300.0
Netherlands,Germany,1,4450.0
NO2,Germany,1,1400.0
Poland,Germany,1,2000.0
Sweden,Germany,1,615.0
NO2,Denmark,1,1640.0
Sweden,Denmark,1,2440.0
Finland,Estonia,1,1016.0
Latvia,Estonia,1,1600.0
France,Spain,1,5000.0
Portugal,Spain,1,4200.0
NO4,Finland,1,110.0
Sweden,Finland,1,2400.0
GreatBrit.,France,1,5400.0
Italy,France,1,4350.0
Ireland,GreatBrit.,1,500.0
Italy,Greece,1,500.0
Macedonia,Greece,1,400.0
Hungary,Croatia,1,2000.0
Serbia,Croatia,1,600.0
Slovenia,Croatia,1,2000.0
Romania,Hungary,1,1400.0
Serbia,Hungary,1,600.0
Slovakia,Hungary,1,2000.0
Slovenia,Italy,1,1530.0
Latvia,Lithuania,1,1500.0
Serbia,Macedonia,1,1050.0
NO2,Netherlands,1,700.0
Sweden,NO1,1,3995.0
Sweden,Poland,1,600.0
Slovakia,Poland,1,990.0
Serbia,Romania,1,1450.0
GreatBrit.,Belgium,1,1000.0
Netherlands,GreatBrit.,1,1000.0
NO2,GreatBrit.,1,1400.0
Sweden,Lithuania,1,700.0
Netherlands,Denmark,1,700.0
Poland,Lithuania,1,1000.0
GreatBrit.,Denmark,1,1400.0
Italy,BosniaH,1,1200.0
Italy,Croatia,1,0.0
Slovakia,Austria,1,0.0
Germany,Belgium,1,0.0
NO2,Belgium,1,0.0
Italy,Germany,1,0.0
Poland,Denmark,1,0.0
Sweden,Estonia,1,0.0
Ireland,Spain,1,0.0
Ireland,France,1,0.0
Luxemb.,France,1,0.0
Poland,Hungary,1,0.0
Slovenia,Hungary,1,0.0
Sweden,Latvia,1,0.0
NO2,NO1,1,0.0
NO3,NO1,1,0.0
NO5,NO1,1,0.0
NO5,NO2,1,0.0
NO4,NO3,1,0.0
NO5,NO3,1,0.0
Sweden,NO3,1,747.4999999999999
Sweden,NO4,1,690.0
Switzerland,Austria,2,4904.92749874197
CzechR,Austria,2,1403.46015341961
Germany,Austria,2,3432.36934398493
Hungary,Austria,2,1687.31330503533
Italy,Austria,2,1148.45721997501
Slovenia,Austria,2,1594.10939904827
Croatia,BosniaH,2,1219.72180391383
Serbia,BosniaH,2,750.0
France,Belgium,2,3585.38659504307
Luxemb.,Belgium,2,320.473450618667
Netherlands,Belgium,2,2852.15720200986
Greece,Bulgaria,2,566.64253521033
Macedonia,Bulgaria,2,169.504407108797
Romania,Bulgaria,2,905.966417892733
Serbia,Bulgaria,2,750.0
Germany,Switzerland,2,3124.70665490058
France,Switzerland,2,4060.92360235795
Italy,Switzerland,2,3357.24933696015
Germany,CzechR,2,4324.85827884478
Poland,CzechR,2,1523.89583825695
Slovakia,CzechR,2,1107.66533683885
Denmark,Germany,2,3433.74700529904
France,Germany,2,16838.5575051656
Luxemb.,Germany,2,2786.72990237485
Netherlands,Germany,2,10202.6479090749
NO2,Germany,2,1400.0
Poland,Germany,2,3986.59970134344
Sweden,Germany,2,600.0
NO2,Denmark,2,1600.0
Sweden,Denmark,2,3399.99999999999
Finland,Estonia,2,1000.0
Latvia,Estonia,2,3035.48606633218
France,Spain,2,6760.29069348186
Portugal,Spain,2,4224.00513470356
NO4,Finland,2,629.522705234316
Sweden,Finland,2,2868.08112067976
GreatBrit.,France,2,10000.0
Italy,France,2,8916.93309177551
Ireland,GreatBrit.,2,2223.79069276851
Italy,Greece,2,1500.0
Macedonia,Greece,2,1000.0
Hungary,Croatia,2,665.082795364113
Serbia,Croatia,2,750.0
Slovenia,Croatia,2,1096.25221207471
Romania,Hungary,2,1355.85652426637
