NodeFrom,NodeTo
CzechR,Austria
Germany,Austria
Hungary,Austria
Italy,Austria
Slovakia,Austria
Slovenia,Austria
Switzerland,Austria
Borssele,Belgium
France,Belgium
Germany,Belgium
GreatBrit.,Belgium
HollandseeKust,Belgium
Luxemb.,Belgium
Netherlands,Belgium
HelgolanderBucht,Borssele
HollandseeKust,Borssele
Nordsoen,Borssele
SorligeNordsjoI,Borssele
SorligeNordsjoII,Borssele
UtsiraNord,Borssele
Croatia,BosniaH
Italy,BosniaH
Serbia,BosniaH
Greece,Bulgaria
Macedonia,Bulgaria
Romania,Bulgaria
Serbia,Bulgaria
Hungary,Croatia
Italy,Croatia
Serbia,Croatia
Slovenia,Croatia
Germany,CzechR
Poland,CzechR
Slovakia,CzechR
GreatBrit.,Denmark
Netherlands,Denmark
NO2,Denmark
Nordsoen,Denmark
Poland,Denmark
Sweden,Denmark
Borssele,DoggerBank
EastAnglia,DoggerBank
HelgolanderBucht,DoggerBank
HollandseeKust,DoggerBank
Hornsea,DoggerBank
Nordsoen,DoggerBank
Norfolk,DoggerBank
OuterDowsing,DoggerBank
SorligeNordsjoI,DoggerBank
SorligeNordsjoII,DoggerBank
UtsiraNord,DoggerBank
Borssele,EastAnglia
HelgolanderBucht,EastAnglia
HollandseeKust,EastAnglia
Nordsoen,EastAnglia
SorligeNordsjoI,EastAnglia
SorligeNordsjoII,EastAnglia
UtsiraNord,EastAnglia
Finland,Estonia
Latvia,Estonia
Sweden,Estonia
NO4,Finland
Sweden,Finland
Borssele,FirthofForth
DoggerBank,FirthofForth
EastAnglia,FirthofForth
HelgolanderBucht,FirthofForth
HollandseeKust,FirthofForth
Hornsea,FirthofForth
Nordsoen,FirthofForth
Norfolk,FirthofForth
OuterDowsing,FirthofForth
SorligeNordsjoI,FirthofForth
SorligeNordsjoII,FirthofForth
UtsiraNord,FirthofForth
GreatBrit.,France
Ireland,France
Italy,France
Luxemb.,France
Denmark,Germany
France,Germany
HelgolanderBucht,Germany
Luxemb.,Germany
Netherlands,Germany
NO2,Germany
Poland,Germany
Sweden,Germany
DoggerBank,GreatBrit.
EastAnglia,GreatBrit.
FirthofForth,GreatBrit.
Hornsea,GreatBrit.
Ireland,GreatBrit.
MorayFirth,GreatBrit.
Netherlands,GreatBrit.
NO2,GreatBrit.
NO5,GreatBrit.
Norfolk,GreatBrit.
OuterDowsing,GreatBrit.
Italy,Greece
Macedonia,Greece
Nordsoen,HelgolanderBucht
SorligeNordsjoI,HelgolanderBucht
SorligeNordsjoII,HelgolanderBucht
UtsiraNord,HelgolanderBucht
HelgolanderBucht,HollandseeKust
Nordsoen,HollandseeKust
SorligeNordsjoI,HollandseeKust
SorligeNordsjoII,HollandseeKust
UtsiraNord,HollandseeKust
Borssele,Hornsea
EastAnglia,Hornsea
HelgolanderBucht,Hornsea
HollandseeKust,Hornsea
Nordsoen,Hornsea
Norfolk,Hornsea
OuterDowsing,Hornsea
SorligeNordsjoI,Hornsea
SorligeNordsjoII,Hornsea
UtsiraNord,Hornsea
Romania,Hungary
Serbia,Hungary
Slovakia,Hungary
Slovenia,Hungary
Slovenia,Italy
Sweden,Latvia
Latvia,Lithuania
Poland,Lithuania
Sweden,Lithuania
Serbia,Macedonia
Borssele,MorayFirth
DoggerBank,MorayFirth
EastAnglia,MorayFirth
FirthofForth,MorayFirth
HelgolanderBucht,MorayFirth
HollandseeKust,MorayFirth
Hornsea,MorayFirth
Nordsoen,MorayFirth
Norfolk,MorayFirth
OuterDowsing,MorayFirth
SorligeNordsjoI,MorayFirth
SorligeNordsjoII,MorayFirth
UtsiraNord,MorayFirth
Borssele,Netherlands
HelgolanderBucht,Netherlands
HollandseeKust,Netherlands
NO2,Netherlands
NO2,NO1
NO3,NO1
NO5,NO1
Sweden,NO1
NO5,NO2
SorligeNordsjoI,NO2
SorligeNordsjoII,NO2
UtsiraNord,NO2
NO4,NO3
NO5,NO3
Sweden,NO3
Sweden,NO4
SorligeNordsjoI,Nordsoen
SorligeNordsjoII,Nordsoen
UtsiraNord,Nordsoen
Borssele,Norfolk
EastAnglia,Norfolk
HelgolanderBucht,Norfolk
HollandseeKust,Norfolk
Nordsoen,Norfolk
SorligeNordsjoI,Norfolk
SorligeNordsjoII,Norfolk
UtsiraNord,Norfolk
Borssele,OuterDowsing
EastAnglia,OuterDowsing
HelgolanderBucht,OuterDowsing
HollandseeKust,OuterDowsing
Nordsoen,OuterDowsing
Norfolk,OuterDowsing
SorligeNordsjoI,OuterDowsing
SorligeNordsjoII,OuterDowsing
UtsiraNord,OuterDowsing
Slovakia,Poland
Sweden,Poland
Serbia,Romania
SorligeNordsjoII,SorligeNordsjoI
France,Spain
Ireland,Spain
Portugal,Spain
France,Switzerland
Germany,Switzerland
Italy,Switzerland
SorligeNordsjoI,UtsiraNord
SorligeNordsjoII,UtsiraNord
Austria,CzechR
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Slovakia
Austria,Slovenia
Austria,Switzerland
Belgium,Borssele
Belgium,France
Belgium,Germany
Belgium,GreatBrit.
Belgium,HollandseeKust
Belgium,Luxemb.
Belgium,Netherlands
Borssele,HelgolanderBucht
Borssele,HollandseeKust
Borssele,Nordsoen
Borssele,SorligeNordsjoI
Borssele,SorligeNordsjoII
Borssele,UtsiraNord
BosniaH,Croatia
BosniaH,Italy
BosniaH,Serbia
Bulgaria,Greece
Bulgaria,Macedonia
Bulgaria,Romania
Bulgaria,Serbia
Croatia,Hungary
Croatia,Italy
Croatia,Serbia
Croatia,Slovenia
CzechR,Germany
CzechR,Poland
CzechR,Slovakia
Denmark,GreatBrit.
Denmark,Netherlands
Denmark,NO2
Denmark,Nordsoen
Denmark,Poland
Denmark,Sweden
DoggerBank,Borssele
DoggerBank,EastAnglia
DoggerBank,HelgolanderBucht
DoggerBank,HollandseeKust
DoggerBank,Hornsea
DoggerBank,Nordsoen
DoggerBank,Norfolk
DoggerBank,OuterDowsing
DoggerBank,SorligeNordsjoI
DoggerBank,SorligeNordsjoII
DoggerBank,UtsiraNord
EastAnglia,Borssele
EastAnglia,HelgolanderBucht
EastAnglia,HollandseeKust
EastAnglia,Nordsoen
EastAnglia,SorligeNordsjoI
EastAnglia,SorligeNordsjoII
EastAnglia,UtsiraNord
Estonia,Finland
Estonia,Latvia
Estonia,Sweden
Finland,NO4
Finland,Sweden
FirthofForth,Borssele
FirthofForth,DoggerBank
FirthofForth,EastAnglia
FirthofForth,HelgolanderBucht
FirthofForth,HollandseeKust
FirthofForth,Hornsea
FirthofForth,Nordsoen
FirthofForth,Norfolk
FirthofForth,OuterDowsing
FirthofForth,SorligeNordsjoI
FirthofForth,SorligeNordsjoII
FirthofForth,UtsiraNord
France,GreatBrit.
France,Ireland
France,Italy
France,Luxemb.
Germany,Denmark
Germany,France
Germany,HelgolanderBucht
Germany,Luxemb.
Germany,Netherlands
Germany,NO2
Germany,Poland
Germany,Sweden
GreatBrit.,DoggerBank
GreatBrit.,EastAnglia
GreatBrit.,FirthofForth
GreatBrit.,Hornsea
GreatBrit.,Ireland
GreatBrit.,MorayFirth
GreatBrit.,Netherlands
GreatBrit.,NO2
GreatBrit.,NO5
GreatBrit.,Norfolk
GreatBrit.,OuterDowsing
Greece,Italy
Greece,Macedonia
HelgolanderBucht,Nordsoen
HelgolanderBucht,SorligeNordsjoI
HelgolanderBucht,SorligeNordsjoII
HelgolanderBucht,UtsiraNord
HollandseeKust,HelgolanderBucht
HollandseeKust,Nordsoen
HollandseeKust,SorligeNordsjoI
HollandseeKust,SorligeNordsjoII
HollandseeKust,UtsiraNord
Hornsea,Borssele
Hornsea,EastAnglia
Hornsea,HelgolanderBucht
Hornsea,HollandseeKust
Hornsea,Nordsoen
Hornsea,Norfolk
Hornsea,OuterDowsing
Hornsea,SorligeNordsjoI
Hornsea,SorligeNordsjoII
Hornsea,UtsiraNord
Hungary,Romania
Hungary,Serbia
Hungary,Slovakia
Hungary,Slovenia
Italy,Slovenia
Latvia,Sweden
Lithuania,Latvia
Lithuania,Poland
Lithuania,Sweden
Macedonia,Serbia
MorayFirth,Borssele
MorayFirth,DoggerBank
MorayFirth,EastAnglia
MorayFirth,FirthofForth
MorayFirth,HelgolanderBucht
MorayFirth,HollandseeKust
MorayFirth,Hornsea
MorayFirth,Nordsoen
MorayFirth,Norfolk
MorayFirth,OuterDowsing
MorayFirth,SorligeNordsjoI
MorayFirth,SorligeNordsjoII
MorayFirth,UtsiraNord
Netherlands,Borssele
Netherlands,HelgolanderBucht
Netherlands,HollandseeKust
Netherlands,NO2
NO1,NO2
NO1,NO3
NO1,NO5
NO1,Sweden
NO2,NO5
NO2,SorligeNordsjoI
NO2,SorligeNordsjoII
NO2,UtsiraNord
NO3,NO4
NO3,NO5
NO3,Sweden
NO4,Sweden
Nordsoen,SorligeNordsjoI
Nordsoen,SorligeNordsjoII
Nordsoen,UtsiraNord
Norfolk,Borssele
Norfolk,EastAnglia
Norfolk,HelgolanderBucht
Norfolk,HollandseeKust
