FromNode,ToNode,LineType
Belgium,Luxemb.,HVAC_OverheadLine
Belgium,Netherlands,HVAC_OverheadLine
Bulgaria,Greece,HVAC_OverheadLine
Bulgaria,Macedonia,HVAC_OverheadLine
Bulgaria,Romania,HVAC_OverheadLine
Bulgaria,Serbia,HVAC_OverheadLine
Switzerland,Germany,HVAC_OverheadLine
Switzerland,France,HVAC_OverheadLine
Switzerland,Italy,HVAC_OverheadLine
CzechR,Germany,HVAC_OverheadLine
CzechR,Poland,HVAC_OverheadLine
CzechR,Slovakia,HVAC_OverheadLine
Germany,Denmark,HVAC_OverheadLine
Germany,France,HVAC_OverheadLine
Germany,Luxemb.,HVAC_OverheadLine
Germany,Netherlands,HVAC_OverheadLine
Germany,NO2,HVDC_Cable
Germany,Poland,HVAC_OverheadLine
Germany,Sweden,HVDC_Cable
Denmark,NO2,HVDC_Cable
Denmark,Sweden,HVDC_Cable
Estonia,Finland,HVDC_Cable
Estonia,Latvia,HVAC_OverheadLine
Spain,France,HVAC_OverheadLine
Spain,Portugal,HVAC_OverheadLine
Finland,NO4,HVAC_OverheadLine
Finland,Sweden,HVDC_Cable
France,GreatBrit.,HVDC_Cable
France,Italy,HVAC_OverheadLine
GreatBrit.,Ireland,HVDC_Cable
Greece,Italy,HVDC_Cable
Greece,Macedonia,HVAC_OverheadLine
Croatia,Hungary,HVAC_OverheadLine
Croatia,Serbia,HVAC_OverheadLine
Croatia,Slovenia,HVAC_OverheadLine
Hungary,Romania,HVAC_OverheadLine
Hungary,Serbia,HVAC_OverheadLine
Hungary,Slovakia,HVAC_OverheadLine
Italy,Slovenia,HVAC_OverheadLine
Lithuania,Latvia,HVAC_OverheadLine
Macedonia,Serbia,HVAC_OverheadLine
Netherlands,NO2,HVDC_Cable
NO1,Sweden,HVAC_OverheadLine
Poland,Sweden,HVDC_Cable
Poland,Slovakia,HVAC_OverheadLine
Romania,Serbia,HVAC_OverheadLine
Belgium,GreatBrit.,HVDC_Cable
GreatBrit.,Netherlands,HVDC_Cable
GreatBrit.,NO2,HVDC_Cable
Lithuania,Sweden,HVDC_Cable
Denmark,Netherlands,HVDC_Cable
Lithuania,Poland,HVAC_OverheadLine
Denmark,GreatBrit.,HVDC_Cable
BosniaH,Italy,HVDC_Cable
Croatia,Italy,HVDC_Cable
Austria,Slovakia,HVAC_OverheadLine
Belgium,Germany,HVAC_OverheadLine
Belgium,NO2,HVDC_Cable
Germany,Italy,HVAC_OverheadLine
Denmark,Poland,HVDC_Cable
Estonia,Sweden,HVDC_Cable
Spain,Ireland,HVDC_Cable
France,Ireland,HVDC_Cable
France,Luxemb.,HVAC_OverheadLine
Hungary,Poland,HVAC_OverheadLine
Hungary,Slovenia,HVAC_OverheadLine
Latvia,Sweden,HVDC_Cable
NO1,NO2,HVAC_OverheadLine
NO1,NO3,HVAC_OverheadLine
NO1,NO5,HVAC_OverheadLine
NO2,NO5,HVAC_OverheadLine
NO3,NO4,HVAC_OverheadLine
NO3,NO5,HVAC_OverheadLine
NO3,Sweden,HVAC_OverheadLine
NO4,Sweden,HVAC_OverheadLine
GreatBrit.,NO5,HVDC_Cable
